St,Col_1_2020,Col_6_2020,Col_1_2021,Col_6_2021,Col_1_2022,Col_6_2022,Col_1_2023
Alabama,0,18246,347501,178298,352569,419320,253000
Alaska,0,467,46138,22685,81651,93965,32978
Arizona,0,20123,510144,351188,500033,681182,315664
Arkansas,0,7442,222000,112008,221005,257194,135562
California,722,135564,2379358,1170987,1759736,3540574,1900630
Colorado,0,26577,310584,206420,414483,468184,290201
Connecticut,0,42732,142976,161855,162625,300002,137339
Delaware,0,9605,48459,50830,71472,96405,45117
District of Columbia,0,8857,20395,19748,45286,56209,18654
Florida,0,56828,1266487,1003440,1941982,1914121,1089285
Georgia,0,47889,527506,320860,523779,551793,325407
Hawaii,0,651,18300,17381,76600,169687,88484
Idaho,0,2905,138169,51231,127077,132703,58450
Illinois,0,121234,849356,411997,820792,1103566,399318
Indiana,0,34820,486207,226793,503016,484745,207127
Iowa,0,19682,262752,89014,210900,198099,103886
Kansas,0,10052,220127,83818,205547,266372,130840
Kentucky,0,10031,255231,193450,397433,498642,307794
Louisiana,0,40321,274943,156399,357032,433137,197476
Maine,0,2345,22866,42608,78917,116703,43208
Montana,0,523,81030,30291,85880,79773,45558
Nebraska,0,14140,152598,54389,121812,145171,47284
Nevada,0,8707,214049,101506,176919,234450,129624
New Hampshire,0,4684,39344,55286,99353,127166,31742
New Jersey,0,160139,371722,484629,580154,801513,500563
New Mexico,0,7795,136346,59010,146892,186528,122485
New York,0,371780,619000,1094801,1383983,1949210,1020240
North Carolina,0,29251,508163,465840,664239,1105243,544089
North Dakota,0,2624,90143,17195,63417,70899,35765
Ohio,0,35978,664402,402176,913539,747028,544445
Oklahoma,0,6526,284410,161352,256650,343153,201916
Oregon,0,4301,109608,87740,219616,346021,143414
Maryland,0,53326,226893,179776,277204,356242,177403
Massachusetts,0,100797,240726,320149,398438,659573,243693
Michigan,0,57528,471060,464337,717352,837089,441288
Minnesota,0,25204,390098,186215,420695,486736,43892
Mississippi,0,15728,202658,99369,225982,261303,155098
Missouri,0,14415,440394,149155,402949,404808,13948
Pennsylvania,0,72280,575746,554837,856750,872573,483956
Rhode Island,0,14991,66960,69893,87127,135214,48202
South Carolina,0,12143,295364,285755,382058,506326,0
South Dakota,0,5029,93981,25181,54204,61962,31499
Tennessee,0,23324,566648,273032,549298,653314,298783
Texas,0,64880,1707603,1171520,1679370,2240046,1125195
Utah,0,10017,266816,129449,230710,311987,125849
Vermont,0,983,6429,16812,40223,68229,15717
Virginia,0,45391,309370,320836,442921,672208,408576
Washington,1,21975,224776,190232,412091,734131,300470
West Virginia,0,2009,69206,90643,166304,188391,108168
Wisconsin,0,20611,501912,151555,451078,552086,283636
Wyoming,0,910,43499,15955,55274,42834,24109
