State,Population,Covid Deaths,%Deaths,%Obesity
Alaska,731545,1457,0.001991675,29.8
Alabama,4903185,21138,0.004311075,35.6
Arkansas,3017804,13062,0.004328313,34.5
Arizona,7278717,29852,0.004101272,28.4
California,39512223,102356,0.00259049,24.2
Colorado,5758736,14522,0.002521734,20.2
Connecticut,3565287,11034,0.003094842,25.3
District of Columbia,705749,1392,0.001972373,22.1
Delaware,973764,3440,0.003532683,29.7
Florida,21477737,89075,0.004147318,26.8
Georgia,10617423,42351,0.003988821,30.7
Hawaii,1415872,1955,0.001380775,22.7
Iowa,3155070,10538,0.003340021,32.1
Idaho,1787065,5513,0.003084947,28.6
Illinois,12671821,39381,0.003107762,30.8
Indiana,6732219,25959,0.003855935,31.3
Kansas,2913314,10229,0.003511122,34.2
Kentucky,4467673,18094,0.004049983,34.6
Louisiana,4648794,18136,0.003901227,36.2
Massachusetts,6892503,21035,0.003051867,24.3
Maryland,6045680,15578,0.002576716,28.9
Maine,1344212,3085,0.002295025,30
Michigan,9986857,43191,0.004324784,31.2
Minnesota,5639632,12806,0.002270716,26.1
Missouri,6137428,20776,0.003385131,32.4
Mississippi,2976149,13474,0.004527327,35.6
Montana,1068778,3712,0.003473125,23.6
North Carolina,10488084,29059,0.002770668,30.1
North Dakota,762062,2232,0.002928896,31
Nebraska,1934408,4827,0.002495337,31.4
New Hampshire,1359711,2972,0.002185759,26.3
New Jersey,8882190,35774,0.00402761,25.6
New Mexico,2096829,9236,0.004404746,28.8
Nevada,3080156,12084,0.003923178,26.7
New York,19453561,77423,0.003979888,25
Ohio,11689100,42299,0.00361867,29.8
Oklahoma,3956971,16157,0.004083174,33.9
Oregon,4217737,8726,0.002068882,30.1
Pennsylvania,12801989,51344,0.004010627,30
Rhode Island,1059361,4148,0.003915568,26
South Carolina,5148714,17869,0.003470575,31.7
South Dakota,884659,3245,0.00366808,30.4
Tennessee,6829174,28113,0.004116603,33.8
Texas,28995881,92378,0.003185901,32.4
Utah,3205958,5397,0.001683428,24.5
Virginia,8535519,23769,0.002784716,29.2
Vermont,623989,910,0.001458359,25.1
Washington,7614893,15972,0.002097469,26.4
Wisconsin,5822434,16723,0.002872167,30.7
West Virginia,1792147,8163,0.004554872,35.6
Wyoming,578759,2039,0.003523055,29
