State,Pop2010,Families_Under_Pover,Obesity_Rate
Alabama,4779736,342551.48,35.6
Alaska,710231,27456.97,29.8
Arizona,6392017,371202.424,28.4
Arkansas,2915918,207272.717,34.5
California,37253956,1735055.861,24.2
Colorado,5029196,223126.749,20.2
Connecticut,3574097,138094.723,25.3
Delaware,897934,40927.44,29.7
District of Columbia,601723,42997.948,22.1
Florida,18801310,1085352.178,26.8
Georgia,9687653,593889.067,30.7
Hawaii,1360301,46590.391,22.7
Idaho,1567582,83002.842,28.6
Illinois,12830632,640325.052,30.8
Indiana,6483802,363902.115,31.3
Iowa,3046355,145843.126,32.1
Kansas,2853118,143135.459,34.2
Kentucky,4339367,317857.062,34.6
Louisiana,4533372,340255.122,36.2
Maine,1328361,71507.802,30
Maryland,5773552,211594.32,28.9
Massachusetts,6547629,279508.93,24.3
Michigan,9883640,588720.894,31.2
Minnesota,5303925,215802.045,26.1
Mississippi,2967297,236417.306,35.6
Missouri,5988927,346376.5,32.4
Montana,989415,56858.07,23.6
Nebraska,1826341,85336.235,31.4
Nevada,2700551,139849.576,26.7
New Hampshire,1316470,42523.637,26.3
New Jersey,8791894,325751.253,25.6
New Mexico,2059179,152007.072,28.8
New York,19378102,1047276.442,25
North Carolina,9535483,592928.037,30.1
North Dakota,672591,31923.831,31
Ohio,11536504,691825.142,29.8
Oklahoma,3751351,241332.774,33.9
Oregon,3831074,217449.237,30.1
Pennsylvania,12702379,646109.882,30
Rhode Island,1052567,53503.633,26
South Carolina,4625364,297529.197,31.7
South Dakota,814180,41539.852,30.4
Tennessee,6346105,414674.791,33.8
Texas,25145561,1385699.063,32.4
Utah,2763885,96978.15,24.5
Vermont,625741,29314.167,25.1
Virginia,8001024,351440.638,29.2
Washington,6724540,307124.689,26.4
West Virginia,1852994,139573.454,35.6
Wisconsin,5686986,271947.919,30.7
Wyoming,563626,25757.572,29
