% Pop.1/2 mile,% Pop.1 mile,% Pop.10 miles,% Pop.20 miles,Poverty Rate,Obesity Rate
85.07,65.28,19.96,2.11,20.06,35.6
81.41,65.98,36.49,31.82,11.43,29.8
72.6,50.11,39.38,25.17,16.67,28.4
85.93,63.8,23.69,3.16,19.0,34.5
57.0,39.6,18.84,11.23,14.55,24.2
73.48,48.86,23.88,12.31,11.61,20.2
74.7,51.96,3.68,,11.12,25.3
75.12,51.0,,,12.86,29.7
46.14,25.51,,,17.5,22.1
71.13,46.89,16.42,4.54,15.3,26.8
82.22,60.27,13.18,7.15,18.33,30.7
68.36,50.6,16.94,12.64,9.76,22.7
77.97,57.04,24.5,13.01,14.81,28.6
69.67,48.78,20.61,,15.01,30.8
81.13,58.73,11.44,,16.47,31.3
76.38,54.97,21.35,,12.53,32.1
77.21,51.2,33.09,5.13,13.6,34.2
83.51,65.68,13.56,,19.52,34.6
76.44,56.28,20.1,5.87,21.5,36.2
82.93,70.51,16.8,8.7,13.56,30.0
71.01,49.55,10.55,,10.51,28.9
70.94,50.72,14.84,,11.88,24.3
76.81,57.99,17.21,9.55,16.97,31.2
77.53,57.83,27.17,8.01,10.98,26.1
87.04,66.51,19.99,0.53,23.13,35.6
77.56,55.7,19.01,8.43,15.73,32.4
76.63,60.44,35.98,23.45,14.24,23.6
73.91,51.04,37.13,21.7,12.19,31.4
66.18,47.56,27.15,18.14,14.06,26.7
85.06,69.45,12.58,2.22,8.6,26.3
67.21,47.75,21.86,,11.13,25.6
77.7,60.3,39.13,24.47,19.65,28.8
66.44,52.46,14.44,3.48,15.07,25.0
81.86,60.55,11.05,6.64,16.35,30.1
75.55,56.16,51.78,20.16,11.43,31.0
75.63,53.3,13.02,,17.4,29.8
79.01,61.77,28.07,8.03,17.52,33.9
68.17,47.46,18.62,9.88,14.44,30.1
73.66,56.47,13.87,,14.07,30.0
70.59,46.27,100.0,,13.63,26.0
84.97,64.03,14.28,7.56,17.65,31.7
79.69,60.87,41.63,15.31,13.72,30.4
84.73,63.43,12.93,,17.57,33.8
73.94,50.53,23.85,15.92,16.73,32.4
71.72,46.55,21.76,14.94,11.24,24.5
83.74,72.4,15.8,,11.28,25.1
74.66,54.84,15.55,25.31,11.87,29.2
72.01,50.49,18.18,5.3,12.05,26.4
83.71,68.16,15.93,22.86,19.47,35.6
77.13,57.71,20.14,3.0,13.58,30.7
81.73,58.47,27.65,14.14,11.7,29.0
